AnimalID	BW	BG	GvHD	Date	State
CRISPR02M.28	25.8	8.9	0	2019/10/02	Fasted
CRISPR02M.29	32.2	7.4	0	2019/10/02	Fasted
CRISPR02M.31	31.6	7.9	0	2019/10/02	Fasted
CRISPR02M.32	33.8	6.9	0	2019/10/02	Fasted
CRISPR02M.33	32.3	7.5	0	2019/10/02	Fasted
CRISPR02M.34	34.3	5.7	0	2019/10/02	Fasted
CRISPR02M.35	30.8	7.5	0	2019/10/02	Fasted
CRISPR02M.13	29	7.5	0	2019/10/02	Fasted
CRISPR02M.14	31	9.4	0	2019/10/02	Fasted
CRISPR02M.15	29.6	8	0	2019/10/02	Fasted
CRISPR02M.01	30	8.3	0	2019/10/08	Random
CRISPR02M.02	28.1	5.7	0	2019/10/08	Random
CRISPR02M.03	29.6	7.6	0	2019/10/08	Random
CRISPR02M.04	29.4	8.5	0	2019/10/08	Random
CRISPR02M.07	29.6	7.9	0	2019/10/08	Random
CRISPR02M.08	31	9.7	0	2019/10/08	Random
CRISPR02M.09	32.6	7.8	0	2019/10/08	Random
CRISPR02M.13	29	5.9	0	2019/10/08	Random
CRISPR02M.14	30.9	7.4	0	2019/10/08	Random
CRISPR02M.15	30.1	7.1	0	2019/10/08	Random
CRISPR02M.16	30.4	7.4	0	2019/10/08	Random
CRISPR02M.17	32.8	6	0	2019/10/08	Random
CRISPR02M.18	28.7	5.7	0	2019/10/08	Random
CRISPR02M.19	31.8	7.5	0	2019/10/08	Random
CRISPR02M.20	31.9	8.9	0	2019/10/08	Random
CRISPR02M.21	32.9	8.1	0	2019/10/08	Random
CRISPR02M.22	30.9	7.8	0	2019/10/08	Random
CRISPR02M.23	27.6	6.9	0	2019/10/08	Random
CRISPR02M.24	29.7	8.5	0	2019/10/08	Random
CRISPR02M.25	29	8.2	0	2019/10/08	Random
CRISPR02M.26	30.6	5.4	0	2019/10/08	Random
CRISPR02M.27	33	9.4	0	2019/10/08	Random
CRISPR02M.28	24.6	8	0	2019/10/08	Random
CRISPR02M.29	31.9	6.9	0	2019/10/08	Random
CRISPR02M.31	31.6	9.1	0	2019/10/08	Random
CRISPR02M.32	33.9	8.3	0	2019/10/08	Random
CRISPR02M.33	31.7	7.7	0	2019/10/08	Random
CRISPR02M.34	33.7	6.9	0	2019/10/08	Random
CRISPR02M.35	31	7.9	0	2019/10/08	Random
CRISPR02M.01	30.8		0	2019/10/09	Random
CRISPR02M.02	28.2		0	2019/10/09	Random
CRISPR02M.03	30.8		0	2019/10/09	Random
CRISPR02M.04	30.2		0	2019/10/09	Random
CRISPR02M.07	30.6		0	2019/10/09	Random
CRISPR02M.08	31.6		0	2019/10/09	Random
CRISPR02M.09	32.7		0	2019/10/09	Random
CRISPR02M.13	29.7		0	2019/10/09	Random
CRISPR02M.14	31.4		0	2019/10/09	Random
CRISPR02M.15	30.6		0	2019/10/09	Random
CRISPR02M.16	30.9		0	2019/10/09	Random
CRISPR02M.17	33.4		0	2019/10/09	Random
CRISPR02M.18	28.9		0	2019/10/09	Random
CRISPR02M.19	32.5		0	2019/10/09	Random
CRISPR02M.20	32.1		0	2019/10/09	Random
CRISPR02M.21	34.2		0	2019/10/09	Random
CRISPR02M.22	31.9		0	2019/10/09	Random
CRISPR02M.23	28.5		0	2019/10/09	Random
CRISPR02M.24	31.2		0	2019/10/09	Random
CRISPR02M.25	31		0	2019/10/09	Random
CRISPR02M.26	31.1		0	2019/10/09	Random
CRISPR02M.27	34.2		0	2019/10/09	Random
CRISPR02M.28	25.7		0	2019/10/09	Random
CRISPR02M.29	32.4		0	2019/10/09	Random
CRISPR02M.31	32.2		0	2019/10/09	Random
CRISPR02M.32	34.3		0	2019/10/09	Random
CRISPR02M.33	32.9		0	2019/10/09	Random
CRISPR02M.34	33.8		0	2019/10/09	Random
CRISPR02M.35	31.6		0	2019/10/09	Random
CRISPR02M.01	31.5		0	2019/10/11	Random
CRISPR02M.02	28.4		0	2019/10/11	Random
CRISPR02M.03	30.7		0	2019/10/11	Random
CRISPR02M.04	30.6		0	2019/10/11	Random
CRISPR02M.07	30.5		0	2019/10/11	Random
CRISPR02M.08	32.3		0	2019/10/11	Random
CRISPR02M.09	33.9		0	2019/10/11	Random
CRISPR02M.13	29.9		0	2019/10/11	Random
CRISPR02M.14	32.2		0	2019/10/11	Random
CRISPR02M.15	31.5		0	2019/10/11	Random
CRISPR02M.21	34.4		0	2019/10/11	Random
CRISPR02M.22	32.1		0	2019/10/11	Random
CRISPR02M.23	28.5		0	2019/10/11	Random
CRISPR02M.24	31.4		0	2019/10/11	Random
CRISPR02M.25	30.3		0	2019/10/11	Random
CRISPR02M.26	31.1		0	2019/10/11	Random
CRISPR02M.27	34.5		0	2019/10/11	Random
CRISPR02M.28	25.7		0	2019/10/11	Random
CRISPR02M.29	32.8		0	2019/10/11	Random
CRISPR02M.31	33.1		0	2019/10/11	Random
CRISPR02M.32	34.6		0	2019/10/11	Random
CRISPR02M.33	32.8		0	2019/10/11	Random
CRISPR02M.34	34.6		0	2019/10/11	Random
CRISPR02M.35	32.4		0	2019/10/11	Random
CRISPR02M.01	31.1	7.9	0	2019/10/17	Fasted
CRISPR02M.02	26	5.4	3	2019/10/17	Fasted
CRISPR02M.03	30.5	6.9	0	2019/10/17	Fasted
CRISPR02M.04	30.2	9.3	0	2019/10/17	Fasted
CRISPR02M.16	30.7	6.5	0	2019/10/17	Fasted
CRISPR02M.17	35.7	7.8	0	2019/10/17	Fasted
CRISPR02M.18	30.3	6.7	0	2019/10/17	Fasted
CRISPR02M.19	34.1	10.2	0	2019/10/17	Fasted
CRISPR02M.20	32.4	8.5	0	2019/10/17	Fasted
CRISPR02M.21	33.6	7.8	0	2019/10/17	Fasted
CRISPR02M.22	32.3	6.8	0	2019/10/17	Fasted
CRISPR02M.23	28	7.2	0	2019/10/17	Fasted
CRISPR02M.24	31.4	7.3	0	2019/10/17	Fasted
CRISPR02M.25	30.9	8.7	0	2019/10/17	Fasted
CRISPR02M.07	29.9	7.4	0	2019/10/17	Fasted
CRISPR02M.08	31.9	8.7	0	2019/10/17	Fasted
CRISPR02M.09	33.5	7.1	0	2019/10/17	Fasted
CRISPR02M.13	29.8	7.3	0	2019/10/17	Fasted
CRISPR02M.14	31.7	9.2	0	2019/10/17	Fasted
CRISPR02M.15	30.9	7.9	0	2019/10/17	Fasted
CRISPR02M.26	28.5	3.9	3	2019/10/17	Fasted
CRISPR02M.27	33.8	8.6	0	2019/10/17	Fasted
CRISPR02M.28	25.3	6.2	0	2019/10/17	Fasted
CRISPR02M.29	32.1	6.4	0	2019/10/17	Fasted
CRISPR02M.31	32.1	7.5	0	2019/10/17	Fasted
CRISPR02M.32	33.6	7.2	0	2019/10/17	Fasted
CRISPR02M.33	32	7.5	0	2019/10/17	Fasted
CRISPR02M.34	33.9	5.9	0	2019/10/17	Fasted
CRISPR02M.35	31.4	7.8	0	2019/10/17	Fasted
CRISPR02M.02			9	2019/10/18	Fasted
CRISPR02M.01	31.7	7.9	0	2019/10/21	Random
CRISPR02M.03	30.3	7.7	0	2019/10/21	Random
CRISPR02M.04	29.9	8.9	0	2019/10/21	Random
CRISPR02M.07	29.9	6.9	0	2019/10/21	Random
CRISPR02M.08	31.1	8.3	0	2019/10/21	Random
CRISPR02M.09	33.8	7.2	0	2019/10/21	Random
CRISPR02M.13	29.9	5.8	0	2019/10/21	Random
CRISPR02M.14	31.3	8	0	2019/10/21	Random
CRISPR02M.15	30.6	10.4	0	2019/10/21	Random
CRISPR02M.16	30.6	8.3	0	2019/10/21	Random
CRISPR02M.17	34.8	7.5	0	2019/10/21	Random
CRISPR02M.18	29.5	6.3	0	2019/10/21	Random
CRISPR02M.19	33.3	7.9	0	2019/10/21	Random
CRISPR02M.20	31.6	8.8	0	2019/10/21	Random
CRISPR02M.21	33.3	8.2	0	2019/10/21	Random
CRISPR02M.22	31.4	8.4	0	2019/10/21	Random
CRISPR02M.23	27.3	6.4	0	2019/10/21	Random
CRISPR02M.24	30.9	7.5	0	2019/10/21	Random
CRISPR02M.25	30.8	8.3	0	2019/10/21	Random
CRISPR02M.26	26.7	4.1	5	2019/10/21	Random
CRISPR02M.27	33.7	8.8	0	2019/10/21	Random
CRISPR02M.28	25.4	7	0	2019/10/21	Random
CRISPR02M.29	32.6	7	0	2019/10/21	Random
CRISPR02M.31	31.9	7.7	0	2019/10/21	Random
CRISPR02M.32	34.6	8.5	0	2019/10/21	Random
CRISPR02M.33	32.1	8.7	0	2019/10/21	Random
CRISPR02M.34	34.3	9.3	0	2019/10/21	Random
CRISPR02M.35	31.9	9.4	0	2019/10/21	Random
CRISPR02M.26			7	2019/10/22	Fasted
CRISPR02M.01	32.2		0	2019/10/24	Random
CRISPR02M.03	31.2		0	2019/10/24	Random
CRISPR02M.04	30.9		0	2019/10/24	Random
CRISPR02M.07	30.2		0	2019/10/24	Random
CRISPR02M.08	32		0	2019/10/24	Random
CRISPR02M.09	34.5		0	2019/10/24	Random
CRISPR02M.13	31.3		0	2019/10/24	Random
CRISPR02M.14	32.2		0	2019/10/24	Random
CRISPR02M.15	30.6		0	2019/10/24	Random
CRISPR02M.16	32.1		0	2019/10/24	Random
CRISPR02M.17	35.4		0	2019/10/24	Random
CRISPR02M.18	30.2		0	2019/10/24	Random
CRISPR02M.19	34.1		0	2019/10/24	Random
CRISPR02M.20	32.7		0	2019/10/24	Random
CRISPR02M.21	34.7		0	2019/10/24	Random
CRISPR02M.22	32.6		0	2019/10/24	Random
CRISPR02M.23	28		0	2019/10/24	Random
CRISPR02M.24	31.8		0	2019/10/24	Random
CRISPR02M.25	30.9		0	2019/10/24	Random
CRISPR02M.27	34.1		0	2019/10/24	Random
CRISPR02M.28	26.1		0	2019/10/24	Random
CRISPR02M.29	33.1		0	2019/10/24	Random
CRISPR02M.31	33.1		0	2019/10/24	Random
CRISPR02M.32	35.1		0	2019/10/24	Random
CRISPR02M.33	32.4		0	2019/10/24	Random
CRISPR02M.34	34.3		0	2019/10/24	Random
CRISPR02M.35	32.5		0	2019/10/24	Random
CRISPR02M.01	32		0	2019/10/29	Random
CRISPR02M.03	31.2		0	2019/10/29	Random
CRISPR02M.04	31		0	2019/10/29	Random
CRISPR02M.07	30.6		0	2019/10/29	Random
CRISPR02M.08	31.8		0	2019/10/29	Random
CRISPR02M.09	34.2		0	2019/10/29	Random
CRISPR02M.13	30.9		0	2019/10/29	Random
CRISPR02M.14	31.7		0	2019/10/29	Random
CRISPR02M.15	30.6		0	2019/10/29	Random
CRISPR02M.16	31.5		0	2019/10/29	Random
CRISPR02M.17	34.7		0	2019/10/29	Random
CRISPR02M.18	30.6		0	2019/10/29	Random
CRISPR02M.19	33.4		0	2019/10/29	Random
CRISPR02M.20	33.1		0	2019/10/29	Random
CRISPR02M.21	35.1		0	2019/10/29	Random
CRISPR02M.22	32		0	2019/10/29	Random
CRISPR02M.23	28.5		0	2019/10/29	Random
CRISPR02M.24	31.7		0	2019/10/29	Random
CRISPR02M.25	31.5		0	2019/10/29	Random
CRISPR02M.27	34.1		0	2019/10/29	Random
CRISPR02M.28	26.1		0	2019/10/29	Random
CRISPR02M.29	32.9		0	2019/10/29	Random
CRISPR02M.31	32.3		0	2019/10/29	Random
CRISPR02M.32	34.8		0	2019/10/29	Random
CRISPR02M.33	32.7		0	2019/10/29	Random
CRISPR02M.34	34.1		0	2019/10/29	Random
CRISPR02M.35	32.3		0	2019/10/29	Random
CRISPR02M.01	32.7		0	2019/10/30	Random
CRISPR02M.03	31.7		0	2019/10/30	Random
CRISPR02M.04	31.7		0	2019/10/30	Random
CRISPR02M.07	30.7		0	2019/10/30	Random
CRISPR02M.08	32.5		0	2019/10/30	Random
CRISPR02M.09	35		0	2019/10/30	Random
CRISPR02M.13	31		0	2019/10/30	Random
CRISPR02M.14	32.7		0	2019/10/30	Random
CRISPR02M.15	30.9		0	2019/10/30	Random
CRISPR02M.16	31.4		0	2019/10/30	Random
CRISPR02M.17	36.2		0	2019/10/30	Random
CRISPR02M.18	30.7		0	2019/10/30	Random
CRISPR02M.19	35.3		0	2019/10/30	Random
CRISPR02M.20	33.6		0	2019/10/30	Random
CRISPR02M.21	36.1		0	2019/10/30	Random
