AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery	Weight
CRISPR02M.19	60	7962.83	7962.83	12.5	12.5	2019/09/30	IP	31.3
CRISPR02M.20	60	6282.325	6282.325	10.7	10.7	2019/09/30	IP	32.1
CRISPR02M.01	0	480.275	480.275	7.6	7.6	2019/10/01	IP	30.2
CRISPR02M.02	0	66.44	66.44	6.3	6.3	2019/10/01	IP	28.9
CRISPR02M.03	0	79.16	79.16	8.5	8.5	2019/10/01	IP	29.1
CRISPR02M.04	0	55.955	55.955	8.3	8.3	2019/10/01	IP	29.7
CRISPR02M.07	0	108.515	108.515	6.9	6.9	2019/10/01	IP	29.1
CRISPR02M.08	0	1262.77	1262.77	7.4	7.4	2019/10/01	IP	30.4
CRISPR02M.09	0	559.845	559.845	7.7	7.7	2019/10/01	IP	32.2
CRISPR02M.21	0	316.78	316.78	8.1	8.1	2019/10/01	IP	33.2
CRISPR02M.22	0	625.865	625.865	8	8	2019/10/01	IP	31
CRISPR02M.23	0	158.77	158.77	7.2	7.2	2019/10/01	IP	28.1
CRISPR02M.24	0	4718.78	4718.78	5.6	5.6	2019/10/01	IP	30.3
CRISPR02M.25	0	4033.595	4033.595	6.9	6.9	2019/10/01	IP	30.6
CRISPR02M.01	15	933.3	933.3	29.4	29.4	2019/10/01	IP	30.2
CRISPR02M.02	15	63.56	63.56	12.1	12.1	2019/10/01	IP	28.9
CRISPR02M.03	15	89.075	89.075	21.3	21.3	2019/10/01	IP	29.1
CRISPR02M.04	15	71.355	71.355	23.1	23.1	2019/10/01	IP	29.7
CRISPR02M.07	15	109.575	109.575	23.1	23.1	2019/10/01	IP	29.1
CRISPR02M.08	15	970.745	970.745	22.9	22.9	2019/10/01	IP	30.4
CRISPR02M.09	15	315.775	315.775	27.9	27.9	2019/10/01	IP	32.2
CRISPR02M.21	15	248.255	248.255	31.2	31.2	2019/10/01	IP	33.2
CRISPR02M.22	15	395.97	395.97	26.5	26.5	2019/10/01	IP	31
CRISPR02M.23	15	120.395	120.395	22.4	22.4	2019/10/01	IP	28.1
CRISPR02M.24	15	6394.95	6394.95	24.8	24.8	2019/10/01	IP	30.3
CRISPR02M.25	15	3969.34	3969.34	27.6	27.6	2019/10/01	IP	30.6
CRISPR02M.01	60	908.42	908.42	10.3	10.3	2019/10/01	IP	30.2
CRISPR02M.02	60	66.485	66.485	11.4	11.4	2019/10/01	IP	28.9
CRISPR02M.03	60	78.135	78.135	12.4	12.4	2019/10/01	IP	29.1
CRISPR02M.04	60	60.945	60.945	10.2	10.2	2019/10/01	IP	29.7
CRISPR02M.07	60	125.835	125.835	12.5	12.5	2019/10/01	IP	29.1
CRISPR02M.08	60	2661.75	2661.75	10.9	10.9	2019/10/01	IP	30.4
CRISPR02M.09	60	442.045	442.045	10.9	10.9	2019/10/01	IP	32.2
CRISPR02M.21	60	232.055	232.055	33.3	147	2019/10/01	IP	33.2
